Ticker,Nombre,Cuenta,Categoría,Tipo Posición,Shares,Precio CAD,Valor CAD,% Portfolio,Notas,Vencimiento,Strike
EQIX,Equinix Inc,RRSP,REITs/Infraestructura,Stock,50,525.00,26250,11.5,Data Center REIT Líder,—,—
DLR,Digital Realty,RRSP,REITs/Infraestructura,Stock,75,135.00,10125,4.4,Infraestructura IA,—,—
SRVR,Invesco S&P 500 Equal Weight ETF,RRSP,REITs/Infraestructura,Stock,140,32.00,4480,2.0,Data Center ETF,—,—
ASML,ASML Holding,RRSP,Semiconductores,Stock,20,550.00,11000,4.8,Equipamiento (NO diseñador),—,—
LRCX,Lam Research,RRSP,Semiconductores,Stock,25,280.00,7000,3.1,Fab Equipment,—,—
AMAT,Applied Materials,RRSP,Semiconductores,Stock,30,210.00,6300,2.8,Semiconductor Equipment,—,—
ARKG,ARK Genomic Revolution ETF,RRSP,Biotech,Stock,100,28.50,2850,1.2,Biotech Diversificado,—,—
XBI,SPDR S&P Biotech ETF,RRSP,Biotech,Stock,80,32.00,2560,1.1,Biotech ETF,—,—
CRSP,CRISPR Therapeutics,RRSP,Biotech,Stock,15,95.00,1425,0.6,CRISPR,—,—
EDIT,Editas Medicine,RRSP,Biotech,Stock,20,60.00,1200,0.5,Gene Editing,—,—
HACK,Invesco Cybersecurity ETF,RRSP,Ciberseguridad,Stock,120,22.00,2640,1.2,Cybersecurity ETF,—,—
CIBR,Nasdaq Cybersecurity ETF,RRSP,Ciberseguridad,Stock,100,25.00,2500,1.1,Cybersecurity ETF,—,—
VPU,Vanguard Utilities ETF,RRSP,Energía,Stock,50,28.00,1400,0.6,Utilities,—,—
XLU,Utilities Sector SPDR,RRSP,Energía,Stock,45,31.00,1395,0.6,Energy Sector,—,—
CCO.TO,Cameco Corporation,RRSP,Energía,Stock,60,42.00,2520,1.1,Uranio Canadá,—,—
URA,Global X Uranium ETF,RRSP,Energía,Stock,80,18.00,1440,0.6,Uranium ETF,—,—
GRID,Global X Energy Infrastructure ETF,RRSP,Energía,Stock,100,8.50,850,0.4,Grid Modernization,—,—
INDA,iShares MSCI India ETF,RRSP,Mercados Emergentes,Stock,150,15.00,2250,1.0,India ETF,—,—
EWZ,iShares MSCI Brazil ETF,RRSP,Mercados Emergentes,Stock,80,32.00,2560,1.1,Brazil ETF,—,—
VWO,Vanguard FTSE Emerging Markets ETF,RRSP,Mercados Emergentes,Stock,100,16.00,1600,0.7,Emerging Markets,—,—
MNT.TO,Mint Gold ETF,Cash CAD,Metales & Commodities,Stock,200,125.00,25000,10.9,Oro Físico Canadá,—,—
PHYS.TO,Sprott Physical Gold,Cash CAD,Metales & Commodities,Stock,150,85.00,12750,5.6,Oro en Bóveda,—,—
COPX,Global X Copper Miners ETF,Cash CAD,Metales & Commodities,Stock,300,20.00,6000,2.6,Cobre,—,—
CPER,Copper ETF,Cash CAD,Metales & Commodities,Stock,100,25.00,2500,1.1,Copper Futures,—,—
PSLV.TO,Sprott Physical Silver,Cash CAD,Metales & Commodities,Stock,1000,5.00,5000,2.2,Plata Física,—,—
UNG,Natural Gas ETF,Cash CAD,Metales & Commodities,Stock,400,10.00,4000,1.7,Gas Natural,—,—
XEG.TO,Canadian Energy Producers,Cash CAD,Metales & Commodities,Stock,250,8.00,2000,0.9,Energy Canada,—,—
